"Common Name","Scientific Name","Life Cycle","January","February","March","April","May","June","July","August","September","October","November","December"
"Alexander, Golden","Zizia aurea","P",0,0,0,0,0,0,0,0,0,0,0,0
"Aster, New England","Symphyotrichum novae-ang","P",0,0,0,0,0,0,0,0,0,0,0,0
"Aster, Stokes","Stokesia laevis","P",0,0,0,0,0,0,0,0,0,0,0,0
"Balm, Lemon","Melissa officinalis","P (Summer)",0,0,0,0,0,0,0,0,0,0,0,0
"Basswood, American","Tilia americana","P",0,0,0,0,0,0,0,0,0,0,0,0
"Beans, Green","Phaseolus vulgaris","A (April Planting) (August Planting)",0,0,0,0,0,0,0,0,0,0,0,0
"Beardtongue","Penstemon spp.","P",0,0,0,0,0,0,0,0,0,0,0,0
"Beebalm","Monarda didyma","P",0,0,0,0,0,0,0,0,0,0,0,0
"Blackberry","Rubus argutus","P",0,0,0,0,0,0,0,0,0,0,0,0
"Blackgum","Nyssa sylvatica","P",0,0,0,0,0,0,0,0,0,0,0,0
"Blazing Star","Liatris spicata","P",0,0,0,0,0,0,0,0,0,0,0,0
"Borage","Borago officinalis","A (mid-Spring to early Fall)",0,0,0,0,0,0,0,0,0,0,0,0
"Box Elder","Acer negundo","P",0,0,0,0,0,0,0,0,0,0,0,0
"Buckwheat","Erigonum polyconaceae","A",0,0,0,0,0,0,0,0,0,0,0,0
"Buttonbush","Cephalanthus occidentalis","P",0,0,0,0,0,0,0,0,0,0,0,0
"Calamint, Georgia","Calamintha georgiana","P (Summer)",0,0,0,0,0,0,0,0,0,0,0,0
"Catalpa, Southern","Catalpa bignonioides","P",0,0,0,0,0,0,0,0,0,0,0,0
"Catmint","Nepeta grandiflora","P (Spring to Fall)",0,0,0,0,0,0,0,0,0,0,0,0
"Cherry, Black","Prunus serotina","P",0,0,0,0,0,0,0,0,0,0,0,0
"Clover, Alsike","Trifolium hybridum","A/P",0,0,0,0,0,0,0,0,0,0,0,0
"Clover, Crimson","Trifolium incarnatum","A",0,0,0,0,0,0,0,0,0,0,0,0
"Clover, Ladino","Trifolium repens","P",0,0,0,0,0,0,0,0,0,0,0,0
"Clover, Sweet","Melilotus fabaceae","A/P",0,0,0,0,0,0,0,0,0,0,0,0
"Clover, White Dutch","Trifolium repens","P",0,0,0,0,0,0,0,0,0,0,0,0
"Coneflower, Purple","Echinacea purpurea","P",0,0,0,0,0,0,0,0,0,0,0,0
"Cotton","Gossypium spp.","SA",0,0,0,0,0,0,0,0,0,0,0,0
"Crabapple, Southern","Malus angustifolia","P",0,0,0,0,0,0,0,0,0,0,0,0
"Culver's Root","Veronicastrum virginicum","P",0,0,0,0,0,0,0,0,0,0,0,0
"Dandelion","Taraxacum officinale","P",0,0,0,0,0,0,0,0,0,0,0,0
"GallBerry","Ilex glabra","P",0,0,0,0,0,0,0,0,0,0,0,0
"Goldenrod","Solidago spp.","P",0,0,0,0,0,0,0,0,0,0,0,0
"Holly, American","Ilex opaca","P",0,0,0,0,0,0,0,0,0,0,0,0
"Holly, Yaupon","Ilex vomitoria","P",0,0,0,0,0,0,0,0,0,0,0,0
"Horsemint, Spotted","Monarda punctata","A/P",0,0,0,0,0,0,0,0,0,0,0,0
"Hydrangea, Oakleaf","Hydrangea quercifolia","P",0,0,0,0,0,0,0,0,0,0,0,0
"Hyssop, Anise","Agastache foeniculum","P",0,0,0,0,0,0,0,0,0,0,0,0
"Indigo, Wild","Baptisia australis","P",0,0,0,0,0,0,0,0,0,0,0,0
"Inkberry","Ilex glabra","P",0,0,0,0,0,0,0,0,0,0,0,0
"Ironweed, New York","Vernonia noveboracensis","P",0,0,0,0,0,0,0,0,0,0,0,0
"Joe-Pye Weed","Eutrochium purpureum","P",0,0,0,0,0,0,0,0,0,0,0,0
"Lanceleaf Blanketflower","Gaillardia aestivalis","P",0,0,0,0,0,0,0,0,0,0,0,0
"Locust, Black","Robinia pseudoacacia","P",0,0,0,0,0,0,0,0,0,0,0,0
"Maple, Red","Acer rubrum","P",0,0,0,0,0,0,0,0,0,0,0,0
"Maple, Sugar","Acer saccharum","P",0,0,0,0,0,0,0,0,0,0,0,0
"Milkweed, Pink","Asclepias incarnata","P",0,0,0,0,0,0,0,0,0,0,0,0
"Mint, Mountain","Pycnanthemum incanum","P",0,0,0,0,0,0,0,0,0,0,0,0
"New Jersey Tea","Ceanothus americanus","P",0,0,0,0,0,0,0,0,0,0,0,0
"Ninebark","Physocarpus opulifolius","P",0,0,0,0,0,0,0,0,0,0,0,0
"Oregano, Ornamental","Origanum laevigatum","P (Summer)",0,0,0,0,0,0,0,0,0,0,0,0
"Passionflower","Passiflora incarnata","P",0,0,0,0,0,0,0,0,0,0,0,0
"Peas, Garden","Pisum sativum","A",0,0,0,0,0,0,0,0,0,0,0,0
"Pepperbush, Sweet","Clethra alnifolia","P",0,0,0,0,0,0,0,0,0,0,0,0
"Persimmon","Diospyros virginiana","P",0,0,0,0,0,0,0,0,0,0,0,0
"Plum, Wild","Prunus americana","P",0,0,0,0,0,0,0,0,0,0,0,0
"Poplar, Tulip","Liriodendron tulipifera","P",0,0,0,0,0,0,0,0,0,0,0,0
"Privet","Ligustrum sinense","P",0,0,0,0,0,0,0,0,0,0,0,0
"Raspberry","Rubus idaeus","P",0,0,0,0,0,0,0,0,0,0,0,0
"Smartweed","Polygonum spp.","A/P",0,0,0,0,0,0,0,0,0,0,0,0
"Sneezeweed","Helenium spp.","A/P",0,0,0,0,0,0,0,0,0,0,0,0
"Sourwood","Oxydendrum arboreum","P (only useful above 1500 feet elevation)",0,0,0,0,0,0,0,0,0,0,0,0
"Soybeans, Group IV","Glycine max","A",0,0,0,0,0,0,0,0,0,0,0,0
"Soybeans, Group VIII","Glycine max","A",0,0,0,0,0,0,0,0,0,0,0,0
"Spiderwort","Tradescantia virginiana","P",0,0,0,0,0,0,0,0,0,0,0,0
"Sumac","Rhus spp.","P",0,0,0,0,0,0,0,0,0,0,0,0
"Sunflower, Common","Helianthus annuus","A",0,0,0,0,0,0,0,0,0,0,0,0
"Sunflower, Maximilian","Helianthus maximiliani","P",0,0,0,0,0,0,0,0,0,0,0,0
"Sweetgum","Liquidambar styraciflua","P",0,0,0,0,0,0,0,0,0,0,0,0
"Thistle, Canadian","Cirsium arvense","P",0,0,0,0,0,0,0,0,0,0,0,0
"Thistle, Musk","Carduus nutans","B (treat as an annual)",0,0,0,0,0,0,0,0,0,0,0,0
"Thistle, Russian","Silybum marianum","A (Spring planting) (Early fall planting)",0,0,0,0,0,0,0,0,0,0,0,0
"Thyme","Thymus vulgaris","P",0,0,0,0,0,0,0,0,0,0,0,0
"Tobacco, Nicotiana","Nicotiana tabacum","A",0,0,0,0,0,0,0,0,0,0,0,0
"Vervain, Blue","Verbena hastata","P",0,0,0,0,0,0,0,0,0,0,0,0
"Vetch, Hairy","Vicia villosa","A/P",0,0,0,0,0,0,0,0,0,0,0,0
"Violet","Viola spp.","P",0,0,0,0,0,0,0,0,0,0,0,0
"Violet, Halberd-Leaf Yellow","Viola hastata","P",0,0,0,0,0,0,0,0,0,0,0,0
"Willow, Black","Salix nigra","P",0,0,0,0,0,0,0,0,0,0,0,0
"Willow, Weeping","Salix babylonica","P",0,0,0,0,0,0,0,0,0,0,0,0
"Yarrow, Common","Achillea millefolium","P",0,0,0,0,0,0,0,0,0,0,0,0
